"","value","est","lambda","type"
"1",0.285810692041228,"Pearson","0","MAE"
"2",0.278405894167578,"Pearson","0","MAE"
"3",0.27699700006546,"Pearson","0","MAE"
"4",0.277259545708975,"Pearson","0","MAE"
"5",0.28150772611085,"Pearson","0","MAE"
"6",0.287883689637084,"Pearson","0","MAE"
"7",0.276171267179866,"Pearson","0","MAE"
"8",0.27778179094886,"Pearson","0","MAE"
"9",0.283023459536475,"Pearson","0","MAE"
"10",0.277514098895639,"Pearson","0","MAE"
"11",0.287046748037574,"Pearson","0.1","MAE"
"12",0.275278977985854,"Pearson","0.1","MAE"
"13",0.277134775679076,"Pearson","0.1","MAE"
"14",0.275472979398315,"Pearson","0.1","MAE"
"15",0.284568540304507,"Pearson","0.1","MAE"
"16",0.296441303600963,"Pearson","0.1","MAE"
"17",0.275733335520288,"Pearson","0.1","MAE"
"18",0.279534781261429,"Pearson","0.1","MAE"
"19",0.282785264050151,"Pearson","0.1","MAE"
"20",0.278831618787785,"Pearson","0.1","MAE"
"21",0.288856246378722,"Pearson","0.2","MAE"
"22",0.2737560802752,"Pearson","0.2","MAE"
"23",0.277451079751072,"Pearson","0.2","MAE"
"24",0.2749714986984,"Pearson","0.2","MAE"
"25",0.287831439775958,"Pearson","0.2","MAE"
"26",0.307900217924775,"Pearson","0.2","MAE"
"27",0.274330316896601,"Pearson","0.2","MAE"
"28",0.282714913082731,"Pearson","0.2","MAE"
"29",0.282399772682805,"Pearson","0.2","MAE"
"30",0.278326632072341,"Pearson","0.2","MAE"
"31",0.288165380960179,"Pearson","0.3","MAE"
"32",0.273211465774606,"Pearson","0.3","MAE"
"33",0.276138895881699,"Pearson","0.3","MAE"
"34",0.274688000901866,"Pearson","0.3","MAE"
"35",0.290385575261005,"Pearson","0.3","MAE"
"36",0.321970243051131,"Pearson","0.3","MAE"
"37",0.271136812688977,"Pearson","0.3","MAE"
"38",0.2851588007421,"Pearson","0.3","MAE"
"39",0.281124113324985,"Pearson","0.3","MAE"
"40",0.27297381004021,"Pearson","0.3","MAE"
"41",0.286409720597737,"Pearson","0.4","MAE"
"42",0.273512772953511,"Pearson","0.4","MAE"
"43",0.27130116123954,"Pearson","0.4","MAE"
"44",0.2739327995005,"Pearson","0.4","MAE"
"45",0.291413865957461,"Pearson","0.4","MAE"
"46",0.334683013428653,"Pearson","0.4","MAE"
"47",0.264867481726834,"Pearson","0.4","MAE"
"48",0.285615520996111,"Pearson","0.4","MAE"
"49",0.27762440775782,"Pearson","0.4","MAE"
"50",0.267154210950612,"Pearson","0.4","MAE"
"51",0.283832640511962,"Pearson","0.5","MAE"
"52",0.27417202022851,"Pearson","0.5","MAE"
"53",0.259401925016672,"Pearson","0.5","MAE"
"54",0.272046567404895,"Pearson","0.5","MAE"
"55",0.290756568304827,"Pearson","0.5","MAE"
"56",0.340410123634304,"Pearson","0.5","MAE"
"57",0.254744644531423,"Pearson","0.5","MAE"
"58",0.283321403179683,"Pearson","0.5","MAE"
"59",0.271442083083119,"Pearson","0.5","MAE"
"60",0.258078584248106,"Pearson","0.5","MAE"
"61",0.279604076129771,"Pearson","0.6","MAE"
"62",0.273711605012506,"Pearson","0.6","MAE"
"63",0.245065511184476,"Pearson","0.6","MAE"
"64",0.267967808636075,"Pearson","0.6","MAE"
"65",0.287872731668572,"Pearson","0.6","MAE"
"66",0.345417600952942,"Pearson","0.6","MAE"
"67",0.240126775987708,"Pearson","0.6","MAE"
"68",0.277007161138023,"Pearson","0.6","MAE"
"69",0.261978890201954,"Pearson","0.6","MAE"
"70",0.244822913312619,"Pearson","0.6","MAE"
"71",0.267765306912904,"Pearson","0.7","MAE"
"72",0.269795613108209,"Pearson","0.7","MAE"
"73",0.225245017110035,"Pearson","0.7","MAE"
"74",0.259979795122878,"Pearson","0.7","MAE"
"75",0.280036875081476,"Pearson","0.7","MAE"
"76",0.344495283889451,"Pearson","0.7","MAE"
"77",0.221052159375437,"Pearson","0.7","MAE"
"78",0.265056472314517,"Pearson","0.7","MAE"
"79",0.247735424508789,"Pearson","0.7","MAE"
"80",0.226674620921276,"Pearson","0.7","MAE"
"81",0.254588595789648,"Pearson","0.8","MAE"
"82",0.258227313490467,"Pearson","0.8","MAE"
"83",0.199892409471052,"Pearson","0.8","MAE"
"84",0.246260937742258,"Pearson","0.8","MAE"
"85",0.268309587223135,"Pearson","0.8","MAE"
"86",0.335434694855988,"Pearson","0.8","MAE"
"87",0.197806560532407,"Pearson","0.8","MAE"
"88",0.244474833313533,"Pearson","0.8","MAE"
"89",0.224825390241383,"Pearson","0.8","MAE"
"90",0.201654278583136,"Pearson","0.8","MAE"
"91",0.234887441806244,"Pearson","0.9","MAE"
"92",0.234173946636483,"Pearson","0.9","MAE"
"93",0.169743432738833,"Pearson","0.9","MAE"
"94",0.223006535558021,"Pearson","0.9","MAE"
"95",0.249253017718394,"Pearson","0.9","MAE"
"96",0.312425670804254,"Pearson","0.9","MAE"
"97",0.172675051178625,"Pearson","0.9","MAE"
"98",0.21832489598227,"Pearson","0.9","MAE"
"99",0.190126470352699,"Pearson","0.9","MAE"
"100",0.169053498424715,"Pearson","0.9","MAE"
"101",0.211869562074564,"Pearson","1","MAE"
"102",0.199377983658998,"Pearson","1","MAE"
"103",0.139052312237443,"Pearson","1","MAE"
"104",0.149084590528446,"Pearson","1","MAE"
"105",0.204486075635773,"Pearson","1","MAE"
"106",0.251418427721715,"Pearson","1","MAE"
"107",0.163194521267082,"Pearson","1","MAE"
"108",0.188790622617507,"Pearson","1","MAE"
"109",0.138904418135876,"Pearson","1","MAE"
"110",0.13200058421019,"Pearson","1","MAE"
"111",0.265867214047692,"LW","0","MAE"
"112",0.259957315302217,"LW","0","MAE"
"113",0.252893860523003,"LW","0","MAE"
"114",0.252445485460558,"LW","0","MAE"
"115",0.251904658227138,"LW","0","MAE"
"116",0.265012192487257,"LW","0","MAE"
"117",0.247472343877531,"LW","0","MAE"
"118",0.257537506052592,"LW","0","MAE"
"119",0.254750388606148,"LW","0","MAE"
"120",0.252179502708839,"LW","0","MAE"
"121",0.269088533847596,"LW","0.1","MAE"
"122",0.258100345230949,"LW","0.1","MAE"
"123",0.256356681903537,"LW","0.1","MAE"
"124",0.247620511716379,"LW","0.1","MAE"
"125",0.257108504243313,"LW","0.1","MAE"
"126",0.275756089407777,"LW","0.1","MAE"
"127",0.251415833344532,"LW","0.1","MAE"
"128",0.261266131973598,"LW","0.1","MAE"
"129",0.254634025811619,"LW","0.1","MAE"
"130",0.258590833986181,"LW","0.1","MAE"
"131",0.272307224007941,"LW","0.2","MAE"
